"id,""timestamp"",""device_id"",""device_name"",""current"",""voltage"",""power"",""channel"""
"201,""2026-06-09T11:34:12.980806"",""esp32-01"",""esp32-01"",""0.012"",""230"",""2.7"","""""
"200,""2026-06-09T11:34:07.749650"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"199,""2026-06-09T11:34:02.634265"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"198,""2026-06-09T11:33:57.304911"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.8"","""""
"197,""2026-06-09T11:33:52.024567"",""esp32-01"",""esp32-01"",""0.451"",""230"",""103.8"","""""
"196,""2026-06-09T11:33:46.860923"",""esp32-01"",""esp32-01"",""0.446"",""230"",""102.6"","""""
"195,""2026-06-09T11:33:41.580137"",""esp32-01"",""esp32-01"",""8.429"",""230"",""1938.6"","""""
"194,""2026-06-09T11:33:36.356602"",""esp32-01"",""esp32-01"",""8.653"",""230"",""1990.2"","""""
"193,""2026-06-09T11:33:30.935655"",""esp32-01"",""esp32-01"",""8.437"",""230"",""1940.5"","""""
"192,""2026-06-09T11:33:25.868414"",""esp32-01"",""esp32-01"",""8.42"",""230"",""1936.7"","""""
"191,""2026-06-09T11:33:20.491098"",""esp32-01"",""esp32-01"",""8.449"",""230"",""1943.3"","""""
"190,""2026-06-09T11:33:15.270716"",""esp32-01"",""esp32-01"",""8.466"",""230"",""1947.2"","""""
"189,""2026-06-09T11:33:10.046067"",""esp32-01"",""esp32-01"",""8.514"",""230"",""1958.2"","""""
"188,""2026-06-09T11:33:04.823421"",""esp32-01"",""esp32-01"",""8.532"",""230"",""1962.4"","""""
"187,""2026-06-09T11:32:59.598923"",""esp32-01"",""esp32-01"",""8.348"",""230"",""1920.1"","""""
"186,""2026-06-09T11:32:54.329106"",""esp32-01"",""esp32-01"",""8.592"",""230"",""1976.1"","""""
"185,""2026-06-09T11:32:49.026317"",""esp32-01"",""esp32-01"",""8.611"",""230"",""1980.6"","""""
"184,""2026-06-09T11:32:43.986485"",""esp32-01"",""esp32-01"",""0.461"",""230"",""106.1"","""""
"183,""2026-06-09T11:32:38.662244"",""esp32-01"",""esp32-01"",""0.462"",""230"",""106.2"","""""
"182,""2026-06-09T11:32:33.360561"",""esp32-01"",""esp32-01"",""1.797"",""230"",""413.4"","""""
"181,""2026-06-09T11:32:28.011791"",""esp32-01"",""esp32-01"",""0.451"",""230"",""103.8"","""""
"180,""2026-06-09T11:32:22.717690"",""esp32-01"",""esp32-01"",""0.462"",""230"",""106.3"","""""
"179,""2026-06-09T11:32:17.772444"",""esp32-01"",""esp32-01"",""0.452"",""230"",""103.9"","""""
"178,""2026-06-09T11:32:12.346750"",""esp32-01"",""esp32-01"",""0.453"",""230"",""104.3"","""""
"177,""2026-06-09T11:32:07.066494"",""esp32-01"",""esp32-01"",""0.462"",""230"",""106.2"","""""
"176,""2026-06-09T11:32:01.844606"",""esp32-01"",""esp32-01"",""0.45"",""230"",""103.5"","""""
"175,""2026-06-09T11:31:56.627831"",""esp32-01"",""esp32-01"",""1.794"",""230"",""412.5"","""""
"174,""2026-06-09T11:31:51.208248"",""esp32-01"",""esp32-01"",""0.452"",""230"",""103.9"","""""
"173,""2026-06-09T11:31:46.336830"",""esp32-01"",""esp32-01"",""0.451"",""230"",""103.6"","""""
"172,""2026-06-09T11:31:40.804810"",""esp32-01"",""esp32-01"",""0.445"",""230"",""102.4"","""""
"171,""2026-06-09T11:31:35.502505"",""esp32-01"",""esp32-01"",""0.451"",""230"",""103.8"","""""
"170,""2026-06-09T11:31:30.288186"",""esp32-01"",""esp32-01"",""0.454"",""230"",""104.3"","""""
"169,""2026-06-09T11:31:25.058862"",""esp32-01"",""esp32-01"",""0.181"",""230"",""41.5"","""""
"168,""2026-06-09T11:31:19.836130"",""esp32-01"",""esp32-01"",""0.023"",""230"",""5.3"","""""
"167,""2026-06-09T11:31:14.591234"",""esp32-01"",""esp32-01"",""0.92"",""230"",""211.5"","""""
"166,""2026-06-09T11:31:09.368503"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"165,""2026-06-09T11:31:04.148030"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.1"","""""
"164,""2026-06-09T11:30:58.924814"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.6"","""""
"163,""2026-06-09T11:30:53.705586"",""esp32-01"",""esp32-01"",""1.74"",""230"",""400.2"","""""
"162,""2026-06-09T11:30:48.322658"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.6"","""""
"161,""2026-06-09T11:30:43.004326"",""esp32-01"",""esp32-01"",""0.016"",""230"",""3.7"","""""
"160,""2026-06-09T11:30:37.777472"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"159,""2026-06-09T11:30:32.622178"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"158,""2026-06-09T11:30:27.488188"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.6"","""""
"157,""2026-06-09T11:30:22.112819"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"156,""2026-06-09T11:30:16.888942"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"155,""2026-06-09T11:30:11.718289"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.1"","""""
"154,""2026-06-09T11:30:06.416960"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"153,""2026-06-09T11:30:01.193653"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"152,""2026-06-09T11:29:56.155480"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.3"","""""
"151,""2026-06-09T11:29:50.829865"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.4"","""""
"150,""2026-06-09T11:29:45.606432"",""esp32-01"",""esp32-01"",""0.015"",""230"",""3.5"","""""
"149,""2026-06-09T11:29:40.486589"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
"148,""2026-06-09T11:29:35.098085"",""esp32-01"",""esp32-01"",""0.014"",""230"",""3.2"","""""
